[2026-05-30T22:41:10Z] state=RUNNING|1:08|7:58:52|slinky-2 | ckpts=[] | <no step line yet>
[2026-05-31T01:02:34Z] state=RUNNING|2:22:31|5:37:29|slinky-2 | ckpts=[2000 4000 ] | 01:00:41.769 [I] Step 5900: grad_norm=0.0355, loss=0.0030, param_norm=1806.6519                   (36600:train.py:268)
[2026-05-31T01:05:37Z] state=RUNNING|2:25:34|5:34:26|slinky-2 | ckpts=[2000 4000 6000 ] | 01:04:55.749 [I] Step 6100: grad_norm=0.0352, loss=0.0029, param_norm=1806.6821                   (36600:train.py:268)
[2026-05-31T01:08:40Z] state=RUNNING|2:28:37|5:31:23|slinky-2 | ckpts=[2000 4000 6000 ] | 01:07:00.874 [I] Step 6200: grad_norm=0.0333, loss=0.0027, param_norm=1806.6962                   (36600:train.py:268)
[2026-05-31T01:11:43Z] state=RUNNING|2:31:40|5:28:20|slinky-2 | ckpts=[2000 4000 6000 ] | 01:11:11.684 [I] Step 6400: grad_norm=0.0319, loss=0.0027, param_norm=1806.7207                   (36600:train.py:268)
[2026-05-31T01:14:46Z] state=RUNNING|2:34:43|5:25:17|slinky-2 | ckpts=[2000 4000 6000 ] | 01:13:17.359 [I] Step 6500: grad_norm=0.0330, loss=0.0026, param_norm=1806.7323                   (36600:train.py:268)
[2026-05-31T01:17:49Z] state=RUNNING|2:37:46|5:22:14|slinky-2 | ckpts=[2000 4000 6000 ] | 01:17:37.806 [I] Step 6700: grad_norm=0.0306, loss=0.0023, param_norm=1806.7535                   (36600:train.py:268)
[2026-05-31T01:20:51Z] state=RUNNING|2:40:49|5:19:11|slinky-2 | ckpts=[2000 4000 6000 ] | 01:19:42.615 [I] Step 6800: grad_norm=0.0314, loss=0.0024, param_norm=1806.7631                   (36600:train.py:268)
[2026-05-31T01:23:54Z] state=RUNNING|2:43:52|5:16:08|slinky-2 | ckpts=[2000 4000 6000 ] | 01:23:52.202 [I] Step 7000: grad_norm=0.0307, loss=0.0024, param_norm=1806.7791                   (36600:train.py:268)
[2026-05-31T01:26:57Z] state=RUNNING|2:46:55|5:13:05|slinky-2 | ckpts=[2000 4000 6000 ] | 01:25:56.981 [I] Step 7100: grad_norm=0.0324, loss=0.0025, param_norm=1806.7865                   (36600:train.py:268)
[2026-05-31T01:30:01Z] state=RUNNING|2:49:58|5:10:02|slinky-2 | ckpts=[2000 4000 6000 ] | 01:28:01.810 [I] Step 7200: grad_norm=0.0319, loss=0.0024, param_norm=1806.7937                   (36600:train.py:268)
